1;200000;Reggea Area;Here chill to some reggea
2;100000;Metal Area;Here you can mosh to some metal
3;50000;Rock Area;Here you can headbang to some good ol' Rock'n'Roll
4;5000;Rap Area;Here you can bounce to some rap beats
5;20000;Funk Area;Here you feel the funk
6;10000;Other Area 1;Some area not interesting enough to get an own description.
7;10000;Other Area 2;Some area not interesting enough to get an own description.
8;20000;Other Area 3;Some area not interesting enough to get an own description.
9;5000;Other Area 4;Some area not interesting enough to get an own description.
10;100;Other Area 5;Some area not interesting enough to get an own description.
11;300;Other Area 6;Some area not interesting enough to get an own description.
12;50;Other Area 7;Some area not interesting enough to get an own description.
13;100;Other Area 8;Some area not interesting enough to get an own description.
14;300;Other Area 9;Some area not interesting enough to get an own description.
15;700;Other Area 10;Some area not interesting enough to get an own description.
16;200;Other Area 11;Some area not interesting enough to get an own description.
17;200;Other Area 12;Some area not interesting enough to get an own description.
18;200;Other Area 13;Some area not interesting enough to get an own description.
19;200;Other Area 14;Some area not interesting enough to get an own description.
20;200;Other Area 15;Some area not interesting enough to get an own description.
21;200;Other Area 16;Some area not interesting enough to get an own description.
22;200;Other Area 17;Some area not interesting enough to get an own description.
23;100;Other Area 18;Some area not interesting enough to get an own description.
24;100;Other Area 19;Some area not interesting enough to get an own description.
25;100;Other Area 20;Some area not interesting enough to get an own description.
26;100;Other Area 21;Some area not interesting enough to get an own description.
27;300;Other Area 22;Some area not interesting enough to get an own description.
